日期,标题,链接,公司名称,股票代码
2025-05-09,公告及通告 - [內幕消息] 公告2025年4月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0509/2025050900461_c.pdf,建業地產,00832
2025-05-07,月報表 截至二零二五年四月三十日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0507/2025050701799_c.pdf,建業地產,00832
2025-05-06,月報表 截至二零二五年四月三十日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0506/2025050601166_c.pdf,恒大物业,06666
2025-04-25,財務報表/環境、社會及管治資料 - [年報] 2024年度報告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042503192_c.pdf,恒大物业,06666
2025-04-25,財務報表/環境、社會及管治資料 - [環境、社會及管治資料/報告] 2024年度環境、社會及管治報告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0425/2025042503216_c.pdf,恒大物业,06666
2025-04-24,通函 - [其他] 致非登記股東之通知信函及回條,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0424/2025042400269_c.pdf,建業地產,00832
2025-04-24,通函 - [其他] 致登記股東之通知信函及回條,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0424/2025042400267_c.pdf,建業地產,00832
2025-04-24,財務報表/環境、社會及管治資料 - [環境、社會及管治資料/報告] 環境、社會及管治報告2024,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0424/2025042400265_c.pdf,建業地產,00832
2025-04-24,委任代表表格 股東週年大會代表委任表格,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0424/2025042400263_c.pdf,建業地產,00832
2025-04-24,公告及通告 - [股東周年大會通告 / 暫停辦理過戶登記手續或更改暫停辦理過戶日期] 股東週年大會通告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0424/2025042400261_c.pdf,建業地產,00832
2025-04-24,通函 - [一般性授權 / 回購股份的說明函件 / 在股東批准的情況下重選或委任董事] (1)建議授予購回股份及發行股份的一般授權；(2)建議重選董事；及(3)股東週年大會通告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0424/2025042400259_c.pdf,建業地產,00832
2025-04-24,財務報表/環境、社會及管治資料 - [年報] 2024年度報告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0424/2025042400257_c.pdf,建業地產,00832
2025-04-10,公告及通告 - [內幕消息] 公告2025年3月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0410/2025041001033_c.pdf,建業地產,00832
2025-04-07,月報表 截至二零二五年三月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0407/2025040700722_c.pdf,恒大物业,06666
2025-04-03,月報表 截至二零二五年三月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0403/2025040301746_c.pdf,建業地產,00832
2025-03-31,公告及通告 - [末期業績 / 核數師發出「非標準報告」] 截至2024年12月31日止年度全年業績公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0331/2025033101648_c.pdf,恒大物业,06666
2025-03-28,公告及通告 - [末期業績 / 核數師發出「非標準報告」 / 暫停辦理過戶登記手續或更改暫停辦理過戶日期] 截至2024年12月31日止年度的年度業績公告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0328/2025032803715_c.pdf,建業地產,00832
2025-03-19,公告及通告 - [董事會召開日期] 董事會會議召開日期,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0319/2025031900427_c.pdf,恒大物业,06666
2025-03-17,公告及通告 - [董事會召開日期] 董事會會議召開日期,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0317/2025031701393_c.pdf,建業地產,00832
2025-03-17,公告及通告 - [盈利警告 / 內幕消息] 內幕消息盈利警告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0317/2025031701391_c.pdf,建業地產,00832
2025-03-12,公告及通告 - [內幕消息] 公告2025年2月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0312/2025031200298_c.pdf,建業地產,00832
2025-03-07,公告及通告 - [內幕消息 / 盈利警告] 內幕消息 - 盈利警告,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0307/2025030701214_c.pdf,恒大物业,06666
2025-03-06,月報表 截至二零二五年二月二十八日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0306/2025030600486_c.pdf,恒大物业,06666
2025-03-05,月報表 截至二零二五年二月二十八日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0305/2025030500529_c.pdf,建業地產,00832
2025-02-12,公告及通告 - [內幕消息] 公告2025年1月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0212/2025021200122_c.pdf,建業地產,00832
2025-02-06,月報表 截至二零二五年一月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0206/2025020600768_c.pdf,恒大物业,06666
2025-02-05,月報表 截至二零二五年一月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0205/2025020501752_c.pdf,建業地產,00832
2025-01-10,公告及通告 - [其他-雜項] 訴訟判決,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0110/2025011001142_c.pdf,恒大物业,06666
2025-01-10,公告及通告 - [內幕消息] 公告2024年12月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0110/2025011001168_c.pdf,建業地產,00832
2025-01-07,月報表 截至二零二四年十二月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0107/2025010700630_c.pdf,恒大物业,06666
2025-01-07,月報表 截至二零二四年十二月三十一日止月份之股份發行人的證券變動月報表,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0107/2025010700250_c.pdf,建業地產,00832
2024-12-31,公告及通告 - [董事名單和他們的地位和作用] 董事名單與其角色和職能,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/1231/2024123101709_c.pdf,建業地產,00832
2024-12-31,公告及通告 - [更換董事或重要行政職能或職責的變更 / 其他-企業管治相關事宜] 委任執行董事及遵守上市規則第13.92條之規定,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/1231/2024123101697_c.pdf,建業地產,00832
2024-12-06,公告及通告 - [內幕消息] 公告2024年11月未經審核合同銷售數據,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/1206/2024120600939_c.pdf,建業地產,00832
